The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
Minimizing...
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10,-1672755.2331683338,262.1708998965642,0.3222210913183446,1000.0,0.9800454063971142
20,-1672655.4421527088,475.8753595552173,0.5848745140970592,1000.0,0.9800454063971142
30,-1672552.7702777088,671.7924735405271,0.8256664032853464,1000.0,0.9800454063971142
40,-1672493.2487933338,906.3947542276413,1.1140042887585206,1000.0,0.9800454063971142
50,-1672429.9421527088,1131.4698418950547,1.3906327795840823,1000.0,0.9800454063971142
60,-1672365.1101214588,1342.5607841859282,1.6500740593722605,1000.0,0.9800454063971142
70,-1672306.4343402088,1558.72783145413,1.9157541249527845,1000.0,0.9800454063971142
80,-1672254.4148089588,1760.8576084171773,2.164181686313191,1000.0,0.9800454063971142
90,-1672199.0417620838,1964.4881012250057,2.4144537021781014,1000.0,0.9800454063971142
100,-1672162.5124652088,2172.747914034946,2.6704153828522292,1000.0,0.9800454063971142
Step 1 equilibration commencing...
110,-1672128.4226214588,2369.480557198037,2.912209598010982,1000.0,0.9800454063971142
120,-1672097.9558245838,2565.605750474132,3.1532572270093855,1000.0,0.9800454063971142
130,-1672058.5534808338,2748.928092039747,3.3785695137109686,1000.0,0.9800454063971142
140,-1672021.1335589588,2924.8396968979105,3.5947736359660403,1000.0,0.9800454063971142
150,-1672010.8327777088,3121.4159723996436,3.8363756674823306,1000.0,0.9800454063971142
160,-1671986.3366839588,3294.118699134394,4.048635918730965,1000.0,0.9800454063971142
170,-1671967.7937152088,3462.8170359211854,4.2559745753266265,1000.0,0.9800454063971142
180,-1671944.0280902088,3627.167405302002,4.457969363464263,1000.0,0.9800454063971142
190,-1671931.9616839588,3782.1362923705638,4.648433842669705,1000.0,0.9800454063971142
200,-1671916.8835589588,3934.179182320363,4.835302125710074,1000.0,0.9800454063971142
Step 2 equilibration commencing...
210,-1671926.3347308338,4104.926289016537,5.045158822547129,1000.0,0.9800454063971142
220,-1671925.7390277088,4268.525783298537,5.246230747796931,1000.0,0.9800454063971142
230,-1671916.4948870838,4418.365497696259,5.430391218372085,1000.0,0.9800454063971142
240,-1671901.6101214588,4557.732663587505,5.601680405330437,1000.0,0.9800454063971142
250,-1671888.0573870838,4677.435801851556,5.748801523123795,1000.0,0.9800454063971142
260,-1671912.4499652088,4830.039324444607,5.9363588516005885,1000.0,0.9800454063971142
270,-1671898.4831683338,4943.9471729766365,6.076357269724783,1000.0,0.9800454063971142
280,-1671906.1823870838,5074.698449417774,6.23705709950281,1000.0,0.9800454063971142
290,-1671911.7976214588,5200.356305247669,6.391496861712142,1000.0,0.9800454063971142
300,-1671925.9226214588,5323.108239018149,6.542365101004017,1000.0,0.9800454063971142
Step 3 equilibration commencing...
310,-1671921.1530902088,5428.690153737287,6.672130531864968,1000.0,0.9800454063971142
320,-1671908.6394183338,5514.507881574242,6.777604792848907,1000.0,0.9800454063971142
330,-1671901.1784808338,5617.3272642650645,6.903974934281028,1000.0,0.9800454063971142
340,-1671949.1667620838,5771.67448350531,7.093675352768226,1000.0,0.9800454063971142
350,-1671967.1120745838,5878.781069718161,7.2253146808191415,1000.0,0.9800454063971142
360,-1671993.2175433338,5999.156821026785,7.373262473538446,1000.0,0.9800454063971142
370,-1672021.4655902088,6113.073672203954,7.51327195636182,1000.0,0.9800454063971142
380,-1672042.0632464588,6223.540691646182,7.649041424191404,1000.0,0.9800454063971142
390,-1672058.8093402088,6314.987682827608,7.76143433014658,1000.0,0.9800454063971142
400,-1672086.1042620838,6408.310758924673,7.8761330378866266,1000.0,0.9800454063971142
Step 4 equilibration commencing...
410,-1672070.6491839588,6454.829198772228,7.933306516941777,1000.0,0.9800454063971142
420,-1672096.6198870838,6551.346019718551,8.05193049614073,1000.0,0.9800454063971142
430,-1672136.1862933338,6653.485637918333,8.177465173163078,1000.0,0.9800454063971142
440,-1672146.7859027088,6714.134788076772,8.252005998858424,1000.0,0.9800454063971142
450,-1672172.6804339588,6793.507616175397,8.349559157126764,1000.0,0.9800454063971142
460,-1672179.3484027088,6854.630689847916,8.424682458420923,1000.0,0.9800454063971142
470,-1672204.3327777088,6934.794559509557,8.523207846161771,1000.0,0.9800454063971142
480,-1672220.0378558338,7002.568997938125,8.60650600595966,1000.0,0.9800454063971142
490,-1672234.7273089588,7064.305227191575,8.682382905996143,1000.0,0.9800454063971142
500,-1672217.4362933338,7086.406508267373,8.709546481017579,1000.0,0.9800454063971142
Step 5 equilibration commencing...
Warming up the system...
